Symbols,kwdprog,brace1,brace2,kwdvars,eps,parens1,parens2,semi,'int','float','string',id,equal,kprint,kwdwhile,comma,int,float,string,opeq,opne,ople,opge,angle1,angle2,plus,minus,aster,slash,caret
Pgm,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBlock,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vargroup,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
PPvarlist,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Varlist,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Vardecl,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,
Basekind,,,,,,,,,8,9,10,,,,,,,,,,,,,,,,,,,
Varid,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
Stmts,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Stmt,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,
Stasgn,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
Stprint,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
Stwhile,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,
PPexprs,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
PPexpr1,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
Exprlist,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,
Moreexprs,,,,,24,,,,,,,,,,,23,,,,,,,,,,,,,,
Expr,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,
QExpr,,,,,27,,,,,,,,,,,,,,,26,26,26,26,,,,,,,
Rterm,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,
QRterm,,,,,30,,,,,,,,,,,,,,,,,,,,,29,29,,,
Term,,,,,,,,,,,,,,,,,31,31,31,,,,,,,,,,,
QTerm,,,,,33,,,,,,,,,,,,,,,,,,,,,,,32,32,32
Fact,,,,,,38,,,,,,37,,,,,34,35,36,,,,,,,,,,,
Oprel,,,,,,,,,,,,,,,,,,,,39,40,42,43,41,44,,,,,
Lthan,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
Gthan,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,
Opadd,,,,,,,,,,,,,,,,,,,,,,,,,,47,48,,,
Opmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,51
